"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
"251575266401205559","SIEMENS/西门子 953+233MP 欧式吸抽油烟机燃气灶具套餐烟灶套装","5300.00","1","LC43S953TIzzER71F233MP","颜色分类：黑色;燃料种类：天然气","","","付款以前，卖家或买家主动关闭交易","LC43S953TIzzER71F233MP"
"251577090035205559","SIEMENS/西门子 953+233MP 欧式吸抽油烟机燃气灶具套餐烟灶套装","5300.00","1","LC43S953TIzzER71F233MP","颜色分类：黑色;燃料种类：天然气","","","付款以前，卖家或买家主动关闭交易","LC43S953TIzzER71F233MP"
"251779235635213736","SIEMENS/西门子 953+23EMP大吸力吸油烟机大尺寸燃气烟灶套餐","6130.00","1","LC43S953TIzzER74F23EMP","颜色分类：黑色;燃料种类：天然气","","","","LC43S953TIzzER74F23EMP"
"239484621989418600","SIEMENS/西门子 SC74M621TI 全自动洗碗机家用嵌入刷碗机高温杀菌","8100.00","1","SC74M621TI","","","","付款以前，卖家或买家主动关闭交易",""
"235234285263438800","SIEMENS/西门子 ER74F23EMP大尺寸嵌入式双灶天然气灶具节能灶炉","2550.00","1","ER74F23EMP","颜色分类：黑色;适用气源：天然气","","","交易成功","ER74F23EMP"
"234228737209079167","【狂欢价】SIEMENS/西门子 45SK95E+77K233 智能联动大吸力自清洁烟灶套装","9390.00","1","LC45SK95EWzzER77K233MP","颜色分类：不锈钢色烟机+黑色灶具;燃料种类：天然气","","","等待买家确认收货，卖家已发货","LC45SK95EWzzER77K233MP"
"239495596476095403","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"239971151073527110","SIEMENS/西门子 SJ236I00JC 家用全自动洗碗机除菌13套独立式","6990.00","1","SJ236I00JC","","","","",""
"239492908378527110","SIEMENS/西门子 SJ236I00JC 家用全自动洗碗机除菌13套独立式","6990.00","1","SJ236I00JC","","","","付款以后用户退款成功，交易自动关闭",""
"244267008130453754","【会员专享】勃兰匠记小工具盒3件套（限会员积分兑换单拍无效）","280.00","1","COUPON24","","","","等待买家确认收货，卖家已发货",""
"244406977134453754","【会员专享】厨房四件套（限会员积分兑换，单拍无效）","599.00","1","COUPON34","","","","等待买家确认收货，卖家已发货",""
"251566978464775266","SIEMENS/西门子 CP565AGS0W嵌入式微蒸烤一体 家用多功能烤箱蒸箱","9480.00","1","CP565AGS0W","颜色分类：不锈钢色","","","等待买家付款","CP565AGS0W"
"239383180633095403","SIEMENS/西门子 LC45SK95EW+ER77K233MP+CP565AGS0W","18990.00","1","LC45SK95EWzzER77K233MPzzCP565AGS0W","颜色分类：黑;燃料种类：天然气","","","","LC45SK95EWzzER77K233MPzzCP565AGS0W"
"251475873977367665","SIEMENS/西门子 SN23E831TI家用全自动洗碗机刷碗机德国原装进口","5390.00","1","SN23E831TI","","","","",""
"233187878729308277","SIEMENS/西门子 45SK95E+77K233 智能联动大吸力自清洁烟灶套装","7080.00","1","LC45SK95EWzzER77K233MP","颜色分类：不锈钢色烟机+黑色灶具;燃料种类：天然气","","","等待买家付款","LC45SK95EWzzER77K233MP"
"227941668777505291","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","1","COUPON28","","","","",""
"235672717882653511","SIEMENS/西门子 953+23EMP大吸力吸油烟机大尺寸燃气烟灶套餐","6130.00","1","LC43S953TIzzER74F23EMP","颜色分类：黑色;燃料种类：天然气","","","交易成功","LC43S953TIzzER74F23EMP"
"239617071408717520","SIEMENS/西门子 SN23E831TI家用全自动洗碗机刷碗机德国原装进口","5390.00","1","SN23E831TI","","","","等待买家确认收货，卖家已发货",""
"251465793142748743","SIEMENS/西门子 66AA950+71F233侧吸大吸力中式烟灶套装餐","6150.00","1","LS66AA950WzzER71F233MP","颜色分类：黑色;燃料种类：天然气","","","","LS66AA950WzzER71F233MP"
"235845871819540302","SIEMENS/西门子 962+232+555飓风侧吸烟灶洗碗机三件套烟灶洗套装","17400.00","1","LS67PA962WzzER76F232MPzzSN555S","颜色分类：黑色;燃料种类：天然气","","","交易成功","LS67PA962WzzER76F232MPzzSN555S03JC"
"250134179693655768","SIEMENS/西门子 SJ236I00JC 家用全自动洗碗机除菌13套独立式","6990.00","1","SJ236I00JC","","","","交易成功",""
"251840739062250856","SIEMENS/西门子 565+636 微蒸烤一体机/全嵌式13套洗碗机烤箱套餐","14380.00","1","CP565AGS0WzzSJ636X01JC","","","","等待买家付款",""
"239473548707938422","SIEMENS/西门子 CP565AGS0W嵌入式微蒸烤一体 家用多功能烤箱蒸箱","9480.00","1","CP565AGS0W","颜色分类：不锈钢色","","","等待买家付款","CP565AGS0W"
"244167264724121845","SIEMENS/西门子 SN555S03JC 进口家用全自动洗碗机嵌入式13套智能","9600.00","1","SN555S03JC","","","","交易成功",""
"233311783911203385","SIEMENS/西门子 SJ236I00JC 家用全自动洗碗机除菌13套独立式","6990.00","1","SJ236I00JC","","","","等待买家确认收货，卖家已发货",""
"235572527408721800","SIEMENS/西门子 SJ636X01JC 家用全自动洗碗机全嵌入式13套 除菌","9990.00","1","SJ636X01JC","","","","交易成功",""
"200301063486359986","SIEMENS/西门子 CP565AGS0W嵌入式微蒸烤一体机家用多功能烤箱","12990.00","1","CP565AGS0W","颜色分类：不锈钢色","","","","CP565AGS0W"
"233023909239148888","SIEMENS/西门子46AA951+23SMP大吸力吸油烟机大尺寸燃气烟灶套餐","4080.00","1","LC46AA951WzzER7EA23SMP","颜色分类：不锈钢+黑色;燃料种类：天然气","","","等待买家付款","LC46AA951WzzER7EA23SMP"
"228603820462164118","【狂欢价】SIEMENS/西门子555+550+636 高端嵌入式蒸箱烤箱洗碗机三件套","27290.00","1","HB24D555WzzHB43GB550WzzSJ636X01JC","","","","等待买家确认收货，卖家已发货",""
"236446959581922321","SIEMENS/西门子 HS363600W消毒柜嵌入式家用紫外线消毒碗柜镶嵌式","4990.00","1","HS363600W","颜色分类：黑色","","","等待买家确认收货，卖家已发货","HS363600W"
"251286912652340336","SIEMENS/西门子 HB133JBS0W 嵌入式烘烤多功能大容量家用电烤箱","5380.00","1","HB133JBS0W","颜色分类：不锈钢色","","","等待买家付款","HB133JBS0W"
"244137568112484533","SIEMENS/西门子 SJ236I00JC 家用全自动洗碗机除菌13套独立式","6990.00","1","SJ236I00JC","","","","交易成功",""
"239919759132894408","SIEMENS/西门子 555+550 原装进口 专业蒸箱烤箱/蒸汽炉套餐","15580.00","1","HB24D555WzzHB43GB550W","","","","等待买家付款",""
"236054496437635429","【狂欢价】SIEMENS/西门子 555+550 原装进口 专业蒸箱烤箱/蒸汽炉套餐","19200.00","1","HB24D555WzzHB43GB550W","","","","等待买家确认收货，卖家已发货",""
"232769798691126092","SIEMENS/西门子 ER76K257MP 嵌入式不锈钢燃气灶 高效大火力","3290.00","1","ER76K257MP","颜色分类：不锈钢色;适用气源：天然气","","","等待买家确认收货，卖家已发货","ER76K257MP"
"223929294022794109","SIEMENS/西门子 SC74M621TI 全自动洗碗机家用嵌入刷碗机高温杀菌","8100.00","1","SC74M621TI","","","","等待买家确认收货，卖家已发货",""
"233383239435984784","SIEMENS/西门子 555+550 原装进口 专业蒸箱烤箱/蒸汽炉套餐","15580.00","1","HB24D555WzzHB43GB550W","","","","等待买家付款",""
"246054272302528035","SIEMENS/西门子 洗碗机专用肖特玻璃门板全嵌半嵌/黑白两色","1299.00","1","SZ06AEUBI/SZ06AXCFI/SZ02AEUFI/SZ06AEUFI/SZ02AXCFI","颜色分类：SZ06AEUBI—SN555S03JC门板","","","交易成功","SZ06AEUBI"
"239399661072394101","SIEMENS/西门子 SN23E831TI家用全自动洗碗机刷碗机德国原装进口","5390.00","1","SN23E831TI","","","","付款以后用户退款成功，交易自动关闭",""
"235706927973533705","SIEMENS/西门子 洗碗机专用肖特玻璃门板全嵌半嵌/黑白两色","1030.00","1","SZ06AEUBI/SZ06AXCFI/SZ02AEUFI/SZ06AEUFI/SZ02AXCFI","颜色分类：SZ02AXCFI-SJ636X01JC白色门板","","","交易成功","SZ02AXCFI"
"226427558067589670","SIEMENS/西门子 洗碗机专用肖特玻璃门板全嵌半嵌/黑白两色","1299.00","1","SZ06AEUBI/SZ06AXCFI/SZ02AEUFI/SZ06AEUFI/SZ02AXCFI","颜色分类：SZ06AEUBI—SN555S03JC门板","","","交易成功","SZ06AEUBI"
"229034567046023876","SIEMENS/西门子 洗碗机专用肖特玻璃门板全嵌半嵌/黑白两色","1299.00","1","SZ06AEUBI/SZ06AXCFI/SZ02AEUFI/SZ06AEUFI/SZ02AXCFI","颜色分类：SZ06AEUBI—SN555S03JC门板","","","交易成功","SZ06AEUBI"
"235846704000540302","SIEMENS/西门子 洗碗机专用肖特玻璃门板全嵌半嵌/黑白两色","1299.00","1","SZ06AEUBI/SZ06AXCFI/SZ02AEUFI/SZ06AEUFI/SZ02AXCFI","颜色分类：SZ06AEUBI—SN555S03JC门板","","","交易成功","SZ06AEUBI"
"223669007374258417","SIEMENS/西门子 洗碗机专用肖特玻璃门板全嵌半嵌/黑白两色","1030.00","1","SZ06AEUBI/SZ06AXCFI/SZ02AEUFI/SZ06AEUFI/SZ02AXCFI","颜色分类：SZ06AXCFI—SJ636X01JC黑色门板","","","交易成功","SZ06AXCFI"
"251230752346493738","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"231417028558554173","SIEMENS/西门子 CP565AGS0W嵌入式微蒸烤一体 家用多功能烤箱蒸箱","9480.00","1","CP565AGS0W","颜色分类：不锈钢色","","","等待买家付款","CP565AGS0W"
"75969598426402412","测试商品111","399.00","1","","","","","付款以后用户退款成功，交易自动关闭",""
"250510561482042141","SIEMENS/西门子 SJ236I00JC 家用全自动洗碗机除菌13套独立式","6990.00","1","SJ236I00JC","","","","等待买家确认收货，卖家已发货",""
"238985996032094615","SIEMENS/西门子 洗碗机专用肖特玻璃门板全嵌半嵌/黑白两色","1299.00","1","SZ06AEUBI/SZ06AXCFI/SZ02AEUFI/SZ06AEUFI/SZ02AXCFI","颜色分类：SZ06AEUFI—SN656X16IC黑色门板","","","等待买家确认收货，卖家已发货","SZ06AEUFI"
"240550752187889445","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","1","COUPON28","","","","付款以后用户退款成功，交易自动关闭",""
"233333575720505581","SIEMENS/西门子 SK215I00AC 家用嵌入式洗碗机免安装智能6套台式","4080.00","1","SK215I00AC","","","","等待买家付款",""
"233083334164544699","SIEMENS/西门子 SJ236I00JC 家用全自动洗碗机除菌13套独立式","6990.00","1","SJ236I00JC","","","","",""
"251188128128587334","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"243153280804476042","SIEMENS/西门子 SJ636X01JC 家用全自动洗碗机全嵌入式13套 除菌","9990.00","1","SJ636X01JC","","","","交易成功",""
"223040782650163900","SIEMENS/西门子 SJ636X01JC 家用全自动洗碗机全嵌入式13套 除菌","9990.00","1","SJ636X01JC","","","","交易成功",""
"251235011187016550","SIEMENS/西门子 ER74F23EMP大尺寸嵌入式双灶天然气灶具节能灶炉","2550.00","1","ER74F23EMP","颜色分类：黑色;适用气源：天然气","","","等待买家确认收货，卖家已发货","ER74F23EMP"
"229310437990213675","双11预售1.98元特权预约20号0-2点付100元定金抢6大特权","1.98","1","COUPON28","","","","付款以后用户退款成功，交易自动关闭",""
"251289729952996457","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"251364706381703739","SIEMENS/西门子 565+636 微蒸烤一体机/全嵌式13套洗碗机烤箱套餐","14380.00","1","CP565AGS0WzzSJ636X01JC","","","","等待买家付款",""
"251662051834419946","SIEMENS/西门子 LS67PA962W+ER76F232MP大吸力大火力侧吸烟灶套装","7800.00","1","LS67PA962WzzER76F232MP","颜色分类：黑;燃料种类：天然气","","","","LS67PA962WzzER76F232MP"
"232505092870609980","SIEMENS/西门子 SN23E831TI家用全自动洗碗机刷碗机德国原装进口","5390.00","1","SN23E831TI","","","","等待买家确认收货，卖家已发货",""
"251360226501758750","SIEMENS/西门子 565+636 微蒸烤一体机/全嵌式13套洗碗机烤箱套餐","14380.00","1","CP565AGS0WzzSJ636X01JC","","","","等待买家付款",""
"251354306736603459","SIEMENS/西门子 257+565 多功能 嵌入式 微蒸烤套装 大容量自清洁","14390.00","1","HB257GES0WzzCP565AGS0W","","","","等待买家付款",""
"232679332865411769","SIEMENS/西门子 555+550 原装进口 专业蒸箱烤箱/蒸汽炉套餐","15580.00","1","HB24D555WzzHB43GB550W","","","","付款以前，卖家或买家主动关闭交易",""
"239544526006965914","SIEMENS/西门子 SJ236I00JC 家用全自动洗碗机除菌13套独立式","6990.00","1","SJ236I00JC","","","","等待买家确认收货，卖家已发货",""
"251650627186075037","SIEMENS/西门子 SK215I00AC 家用嵌入式洗碗机免安装智能6套台式","4080.00","1","SK215I00AC","","","","等待买家付款",""
"237813644251767114","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","付款以前，卖家或买家主动关闭交易",""
"230562050841923864","【狂欢价】SIEMENS/西门子CP565AGS0W","12990.00","1","CP565AGS0W","颜色分类：不锈钢色","","","等待买家确认收货，卖家已发货","CP565AGS0W"
"251128864933403262","SIEMENS/西门子 CP565AGS0W嵌入式微蒸烤一体 家用多功能烤箱蒸箱","9480.00","1","CP565AGS0W","颜色分类：不锈钢色","","","等待买家付款","CP565AGS0W"
"251633123632932540","SIEMENS/西门子 HB655GBS1W+CD634GBS3W蒸箱烤箱组合套装","20990.00","1","HB655GBS1WzzCD634GBS3W","","","","等待买家付款",""
"239346796518337105","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"235885516388103017","SIEMENS/西门子 962+232+636劲风侧吸烟灶洗碗机套餐烟灶洗三件套","12390.00","1","LS67PA962WzzER76F232MPzzSJ636X01JC","颜色分类：三件套;燃料种类：天然气","","","等待买家付款","LS67PA962WzzER76F232MPzzSJ636X01JC"
"235863564768232315","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"235945229292868302","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"245189091768827563","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"244597602928937864","SIEMENS/西门子 962+232+636劲风侧吸烟灶洗碗机套餐烟灶洗三件套","12390.00","1","LS67PA962WzzER76F232MPzzSJ636X01JC","颜色分类：三件套;燃料种类：天然气","","","等待买家付款","LS67PA962WzzER76F232MPzzSJ636X01JC"
"229491078495782786","SIEMENS/西门子 SK215I00AC 家用嵌入式洗碗机免安装智能6套台式","4080.00","1","SK215I00AC","","","","等待买家付款",""
"244581025530388132","SIEMENS/西门子 HB133JBS0W 嵌入式烘烤多功能大容量家用电烤箱","5580.00","1","HB133JBS0W","颜色分类：不锈钢色","","","等待买家付款","HB133JBS0W"
"230648230050271479","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"236354191033763625","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"229258148001550974","SIEMENS/西门子 565+621 微蒸烤一体机/嵌入式8套洗碗机套餐","14390.00","1","CP565AGS0WzzSC74M621TI","","","","等待买家付款",""
"229378053150972077","SIEMENS/西门子558+565 多功能 嵌入式 微蒸烤套装 大容量自清洁","16590.00","1","HB558GZS0WzzCP565AGS0W","","","","等待买家付款",""
"245044737035936141","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"235943373120104424","SIEMENS/西门子HS636+SJ636高端烤洗套装 进口蒸烤二合一洗碗机","21990.00","1","HS636GDS1WzzSJ636X01JC","","","","等待买家付款",""
"247722018487586242","SIEMENS/西门子 962+232+636劲风侧吸烟灶洗碗机套餐烟灶洗三件套","12390.00","1","LS67PA962WzzER76F232MPzzSJ636X01JC","颜色分类：三件套;燃料种类：天然气","","","等待买家付款","LS67PA962WzzER76F232MPzzSJ636X01JC"
"237044044517610714","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"236338735230360820","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"236922926219957807","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"235862380152798213","SIEMENS/西门子 SK215I00AC 家用嵌入式洗碗机免安装智能6套台式","4080.00","1","SK215I00AC","","","","等待买家付款",""
"235987917505068516","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"236318319461568806","SIEMENS/西门子 SK215I00AC 家用嵌入式洗碗机免安装智能6套台式","4080.00","1","SK215I00AC","","","","等待买家付款",""
"235851564989621121","SIEMENS/西门子 HB655GBS1W+CD634GBS3W蒸箱烤箱组合套装","20990.00","1","HB655GBS1WzzCD634GBS3W","","","","等待买家付款",""
"236112462481252203","SIEMENS/西门子 45SK95E+77K233 智能联动大吸力自清洁烟灶套装","7080.00","1","LC45SK95EWzzER77K233MP","颜色分类：不锈钢色烟机+黑色灶具;燃料种类：天然气","","","等待买家付款","LC45SK95EWzzER77K233MP"
"236330287446252203","SIEMENS/西门子 45SK95E+77K233 智能联动大吸力自清洁烟灶套装","7080.00","1","LC45SK95EWzzER77K233MP","颜色分类：不锈钢色烟机+黑色灶具;燃料种类：天然气","","","等待买家付款","LC45SK95EWzzER77K233MP"
"235858956209303307","SIEMENS/西门子 45SK95E+77K233 智能联动大吸力自清洁烟灶套装","7080.00","1","LC45SK95EWzzER77K233MP","颜色分类：不锈钢色烟机+黑色灶具;燃料种类：天然气","","","等待买家付款","LC45SK95EWzzER77K233MP"
"244592930358597465","SIEMENS/西门子 45SK95E+77K233 智能联动大吸力自清洁烟灶套装","7080.00","1","LC45SK95EWzzER77K233MP","颜色分类：不锈钢色烟机+黑色灶具;燃料种类：天然气","","","等待买家付款","LC45SK95EWzzER77K233MP"
"244502785455159355","SIEMENS/西门子 45SK95E+77K233 智能联动大吸力自清洁烟灶套装","7080.00","1","LC45SK95EWzzER77K233MP","颜色分类：不锈钢色烟机+黑色灶具;燃料种类：天然气","","","等待买家付款","LC45SK95EWzzER77K233MP"
"229242084678851176","SIEMENS/西门子 45SK95E+77K233 智能联动大吸力自清洁烟灶套装","7080.00","1","LC45SK95EWzzER77K233MP","颜色分类：不锈钢色烟机+黑色灶具;燃料种类：天然气","","","等待买家付款","LC45SK95EWzzER77K233MP"
"247431233969555466","SIEMENS/西门子 SK215I00AC 家用嵌入式洗碗机免安装智能6套台式","4080.00","1","SK215I00AC","","","","等待买家付款",""
"244830432555537151","SIEMENS/西门子 45SK95E+77K233 智能联动大吸力自清洁烟灶套装","7080.00","1","LC45SK95EWzzER77K233MP","颜色分类：不锈钢色烟机+黑色灶具;燃料种类：天然气","","","等待买家付款","LC45SK95EWzzER77K233MP"
"236324879739208223","SIEMENS/西门子 45SK95E+77K233 智能联动大吸力自清洁烟灶套装","7080.00","1","LC45SK95EWzzER77K233MP","颜色分类：不锈钢色烟机+黑色灶具;燃料种类：天然气","","","等待买家付款","LC45SK95EWzzER77K233MP"
"244598370791716955","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"244527200205216848","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"235941485569719213","SIEMENS/西门子 SK215I00AC 家用嵌入式洗碗机免安装智能6套台式","4080.00","1","SK215I00AC","","","","等待买家付款",""
"245898498807365953","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"229525574033012897","SIEMENS/西门子 555+550 原装进口 专业蒸箱烤箱/蒸汽炉套餐","15580.00","1","HB24D555WzzHB43GB550W","","","","等待买家付款",""
"246380929051739992","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"244870179133728429","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"230745190226617088","SIEMENS/西门子 SK215I00AC 家用嵌入式洗碗机免安装智能6套台式","4080.00","1","SK215I00AC","","","","等待买家付款",""
"230706309301032698","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"230143495278153183","SIEMENS/西门子 HB133JBS0W 嵌入式烘烤多功能大容量家用电烤箱","5380.00","1","HB133JBS0W","颜色分类：不锈钢色","","","等待买家付款","HB133JBS0W"
"229362629141839769","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"230525924946336982","SIEMENS/西门子 45SK95E+77K233 智能联动大吸力自清洁烟灶套装","7080.00","1","LC45SK95EWzzER77K233MP","颜色分类：不锈钢色烟机+黑色灶具;燃料种类：天然气","","","等待买家付款","LC45SK95EWzzER77K233MP"
"229691366376537491","SIEMENS/西门子 45SK95E+77K233 智能联动大吸力自清洁烟灶套装","7080.00","1","LC45SK95EWzzER77K233MP","颜色分类：不锈钢色烟机+黑色灶具;燃料种类：天然气","","","等待买家付款","LC45SK95EWzzER77K233MP"
"247568131052494654","SIEMENS/西门子950+233+601 时尚侧吸烟灶消毒柜套餐烟灶消三件套","7290.00","1","LS66AA950WzzER71F233MPzzHS243601W","颜色分类：黑;燃料种类：天然气","","","等待买家付款","LS66AA950WzzER71F233MPzzHS243601W"
"244538081657827563","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"246307074956689961","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"244389664062736851","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
"245434691585195431","SIEMENS/西门子 45SK95E+77K233 智能联动大吸力自清洁烟灶套装","7080.00","1","LC45SK95EWzzER77K233MP","颜色分类：不锈钢色烟机+黑色灶具;燃料种类：天然气","","","等待买家付款","LC45SK95EWzzER77K233MP"
"244501025210642663","SIEMENS/西门子46AA951+23SMP大吸力吸油烟机大尺寸燃气烟灶套餐","4080.00","1","LC46AA951WzzER7EA23SMP","颜色分类：不锈钢+黑色;燃料种类：天然气","","","等待买家付款","LC46AA951WzzER7EA23SMP"
"245251907360733361","SIEMENS/西门子 45SK95E+77K233 智能联动大吸力自清洁烟灶套装","7080.00","1","LC45SK95EWzzER77K233MP","颜色分类：不锈钢色烟机+黑色灶具;燃料种类：天然气","","","等待买家付款","LC45SK95EWzzER77K233MP"
"229731751609260083","SIEMENS/西门子 962+232+636劲风侧吸烟灶洗碗机套餐烟灶洗三件套","12390.00","1","LS67PA962WzzER76F232MPzzSJ636X01JC","颜色分类：三件套;燃料种类：天然气","","","等待买家付款","LS67PA962WzzER76F232MPzzSJ636X01JC"
"244618242062169951","SIEMENS/西门子 HB133JBS0W 嵌入式烘烤多功能大容量家用电烤箱","5580.00","1","HB133JBS0W","颜色分类：不锈钢色","","","等待买家付款","HB133JBS0W"
"245060769419703760","SIEMENS/西门子 45SK95E+77K233 智能联动大吸力自清洁烟灶套装","7080.00","1","LC45SK95EWzzER77K233MP","颜色分类：不锈钢色烟机+黑色灶具;燃料种类：天然气","","","等待买家付款","LC45SK95EWzzER77K233MP"
"246112579006496132","SIEMENS/西门子 SC454B00AC 家用嵌入式洗碗机除菌8套嵌入式","6190.00","1","SC454B00AC","","","","等待买家付款",""
